sample,grain_number,AFT_age,AFT_age_1sigma,AFT_age_stderr_min,AFT_age_stderr_plus,Dpar
E70b,,20.0418110733185,5.75,5.75,5.75,1.55
E70b,,21.4203589648539,6.57,6.57,6.57,1.38
E70b,,28.9180657600646,7.51,7.51,7.51,1.28
RH05,,20.007712025186,11.62,11.62,11.62,1.4
RH05,,3.24705131364454,1.88,1.88,1.88,1.37
RH05,,1.51632739166267,4.55,4.55,4.55,1.21
RH05,,48.8298621293121,34.75,34.75,34.75,1.1
RH05,,31.3697080076528,15.79,15.79,15.79,1.38
RH05,,5.33901089401383,15.99,15.99,15.99,1.31
RH05,,10.8499689997807,32.53,32.53,32.53,1.05
RH05,,61.382828569555,20.96,20.96,20.96,2.47
RH05,,11.9865499387838,3.72,3.72,3.72,1.47
RH05,,116.482711783775,67.66,67.66,67.66,1.25
RH05,,10.2050113480176,4.22,4.22,4.22,1.34
RH05,,7.79771214578696,5.53,5.53,5.53,1.31
RH05,,1.87130646613293,5.61,5.61,5.61,0.98
RH05,,10.798055319081,32.36,32.36,32.36,1.19
RH05,,3.49697281745015,1.76,1.76,1.76,1.1
RH05,,2.18441297581788,6.55,6.55,6.55,1.17
RH05,,44.5749818848346,20,20,20,1.2
RH05,,8.15670542424688,2.63,2.63,2.63,1.13
RH05,,4.67781277987599,13.95,13.95,13.95,1.17
RH05,,19.2495285308754,8.69,8.69,8.69,1.15
RH05,,11.8469107701802,5.97,5.97,5.97,1.4
RH05,,1.96316846829953,1.97,1.97,1.97,0.88
RH05,,15.1157277965517,45.1,45.1,45.1,1.19
RH05,,1.46068166023098,4.36,4.36,4.36,1.36
RH05,,13.8214819034732,6.27,6.27,6.27,2.33
RH05,,12.8024649121727,4.07,4.07,4.07,1.23
RH05,,6.88336673676261,2.64,2.64,2.64,1
RH05,,3.32889252571525,2.36,2.36,2.36,1.39
RH05,,11.2668301236888,6.54,6.54,6.54,1.3
RH05,,13.8147051639294,13.83,13.83,13.83,1.23
RH05,,8.22452640214795,3.71,3.71,3.71,1.02
RH05,,11.7055957140296,6.81,6.81,6.81,1.52
RH10,,5.53275764314904,16.54,16.54,16.54,1.09
RH10,,7.67779754223148,23,23,23,1.14
RH10,,12.7019239783761,37.98,37.98,37.98,1.3
RH10,,2.42495406875455,7.26,7.26,7.26,1.06
RH10,,3.3299529654231,9.97,9.97,9.97,1.23
RH10,,6.74885022544957,20.17,20.17,20.17,1.07
RH10,,13.0984561057195,39.17,39.17,39.17,1.1
RH10,,10.2320612404097,30.63,30.63,30.63,1.25
RH10,,1.18939026952198,3.57,3.57,3.57,1.25
RH10,,6.31512738812946,18.95,18.95,18.95,1.09
