well,depth_top,depth_bottom,strat_unit
EVD-01,1127.8092041016,1152.7817382813,RNROY
EVD-01,1152.7817382813,1197.7321777344,RNROF
EVD-01,1197.7321777344,1274.6174316406,RNROL
EVD-01,1274.6174316406,1280.6085205078,RNSOC
EVD-01,1280.6085205078,1289.5949707031,RNSOB
EVD-01,1289.5949707031,1349.3999023438,RBMH
EVD-01,1349.3999023438,1370.3243408203,RBMDC
EVD-01,1370.3243408203,1377.2990722656,RBMDL
EVD-01,1377.2990722656,1438.9479980469,RBMVC
EVD-01,1438.9479980469,1464.7712402344,RBMVL
EVD-01,1464.7712402344,1587.3969726563,RBSHR
EVD-01,1587.3969726563,1691.9163818359,RBSHM
EVD-01,1597.2700195313,1703.7591552734,RBSHM
EVD-01,1691.9163818359,1707.7087402344,ZEUC
EVD-01,1703.7591552734,1707.7087402344,ZEUC
EVD-01,1707.7087402344,1715.6080322266,ZEZ3C
EVD-01,1715.6080322266,1720.544921875,ZEZ3G
EVD-01,1720.544921875,1731.4063720703,ZEZ2M
EVD-01,1731.4063720703,1735.3559570313,ZEZ2F
EVD-01,1720.544921875,1738.3181152344,ZEZ2M
EVD-01,1735.3559570313,1738.3181152344,ZEZ2R
EVD-01,1738.3181152344,1755.1040039063,ZEZ1M
EVD-01,1738.3181152344,1760.041015625,ZEZ1M
EVD-01,1755.1040039063,1782.7510986328,ZEZ1F
EVD-01,1760.041015625,1782.7510986328,ZEZ1F
EVD-01,1782.7510986328,1859.5902099609,ROSL
EVD-01,1859.5902099609,2082.517578125,DCDH
EVD-01,2082.517578125,2179.1481933594,DCCU
GRH-01,0,29,NUCT
GRH-01,29,165,NUBA
GRH-01,165,318,NMVF
GRH-01,318,322,NMRFT
GRH-01,322,407,NMRFC
GRH-01,407,435,NMRFV
GRH-01,435,450,NLLFC
GSD-01,0,754.7626342773,N
GSD-01,754.7626342773,1145.8449707031,SLDNA
GSD-01,1145.8449707031,1168.8499755859,XXD
GSD-01,1168.8499755859,1874.9874267578,SLDNA
GSD-01,1874.9874267578,1883.0584716797,ATBRU
GSD-01,1883.0584716797,1901.1481933594,ATBR3
GSD-01,1901.1481933594,1917.6368408203,ATBRM
GSD-01,1917.6368408203,1942.3697509766,ATBR2
GSD-01,1942.3697509766,1985.2536621094,ATBRL
GSD-01,1985.2536621094,2057.4406738281,ATBR1
GSD-01,2057.4406738281,2086.4636230469,ATWDU
GSD-01,2086.4636230469,2086.4636230469,FAULT
GSD-01,2086.4636230469,2152.2211914063,ATWDU
GSD-01,2152.2211914063,2202.1528320313,ATWDM
GSD-01,2202.1528320313,2318.4099121094,ATWDL
GWD-01,0,148,NUCT
GWD-01,148,261.7643127441,NUMS
GWD-01,261.7643127441,527.5540161133,NUOT
GWD-01,527.5540161133,914.3160400391,NUBA
GWD-01,914.3160400391,992.9479980469,NMRFC
GWD-01,992.9479980469,1066.205078125,NLFFS
GWD-01,1066.205078125,1170.7899169922,NLFFY
GWD-01,1170.7899169922,1201.4100341797,NLLFC
GWD-01,1201.4100341797,1219.9940185547,NLLFS
GWD-01,1219.9940185547,1267.2479248047,ATWDM
GWD-01,1267.2479248047,1320.2000732422,ATWDL
GWD-01,1320.2000732422,1320.2000732422,FLT_N
GWD-01,1320.2000732422,1325.3280029297,ATWDL
GWD-01,1325.3280029297,1411.1220703125,ATAL
GWD-01,1411.1220703125,1429.6820068359,ATRT
GWD-01,1429.6820068359,1433.6600341797,RNKPU
GWD-01,1433.6600341797,1444.2661132813,RNKPD
GWD-01,1444.2661132813,1452.2740478516,RNKPR
GWD-01,1452.2740478516,1489.7359619141,RNMUU
GWD-01,1489.7359619141,1495.6015625,RNMUA
GWD-01,1495.6015625,1499.5119628906,RNMUE
GWD-01,1499.5119628906,1499.5119628906,FLT_R
GWD-01,1499.5119628906,1694.8231201172,ATAL
GWD-01,1694.8231201172,1694.8231201172,FLT_N
GWD-01,1694.8231201172,1703.2899169922,RNMUA
GWD-01,1703.2899169922,1715.3598632813,RNMUE
GWD-01,1715.3598632813,1759.8433837891,RNMUL
GWD-01,1759.8433837891,1801.6929931641,RNROY
GWD-01,1801.6929931641,1841.9899902344,RNROF
HEI-01,0,100,NUCT
HEI-01,100,254,NUMS
HEI-01,254,362.9947814941,NUOT
HEI-01,362.9947814941,402.941619873,NUBA
HEI-01,402.941619873,499.3099975586,NMRFC
HEI-01,499.3099975586,539.7593994141,NMRFV
HEI-01,539.7593994141,587.6359863281,NLFFB
HEI-01,587.6359863281,719.5660400391,NLFFS
HEI-01,719.5660400391,966.6359863281,NLFFY
HEI-01,966.6359863281,975.0599975586,NLFFD
HEI-01,975.0599975586,1016.2360229492,NLLFC
HEI-01,1016.2360229492,1033.0380859375,NLLFS
HEI-01,1033.0380859375,1094.7600097656,CKHM
HEI-01,1094.7600097656,1597.4549560547,CKGR
HEI-01,1597.4549560547,1613.5164794922,CKTXG
HEI-01,1613.5164794922,1626.7139892578,KNGLM
HEI-01,1626.7139892578,1688.1630859375,KNGLG
HEI-01,1688.1630859375,1792.5180664063,KNGLL
HEI-01,1792.5180664063,1854.8537597656,KNNSL
HEI-01,1854.8537597656,1865.1412353516,KNNCU
HEI-01,1865.1412353516,2115.2797851563,SLDNA
HEI-01,2115.2797851563,2160.2250976563,XXD
HEI-01,2160.2250976563,2212.1000976563,SLDNA
HPT-01,0,738,NU
HPT-01,738,822,NMVFO
HPT-01,822,836,NMVFV
HPT-01,836,990,NMRFC
HPT-01,990,1076,NLFFY
HPT-01,1076,1080,NLFFD
HPT-01,1080,1134,NLLFC
HPT-01,1134,1140,NLLFS
HPT-01,1140,1182,ATBR1
HPT-01,1182,1452,ATWDU
HPT-01,1452,1484,ATWDM
HPT-01,1484,1732,ATWDL
HPT-01,1732,1758,ATPO
HSW-01,0,221.0000152588,NUCT
HSW-01,221.0000152588,530,NUOT
HSW-01,530,1113.5455322266,NUBA
HSW-01,1113.5455322266,1180.2277832031,NMVF
HSW-01,1180.2277832031,1282.6555175781,NMRF
HSW-01,1282.6555175781,1311.5979003906,NLLFC
HSW-01,1311.5979003906,1316.4240722656,NLLFS
HSW-01,1316.4240722656,1799.6099853516,SLDNA
HSW-01,1799.6099853516,1872.1329345703,ATBRU
HSW-01,1872.1329345703,1901.6937255859,ATBR3
HSW-01,1901.6937255859,1939.8096923828,ATBRM
HSW-01,1939.8096923828,1956.9582519531,ATBR2
HSW-01,1956.9582519531,1956.9582519531,ATWD
HSW-01,1956.9582519531,2208.6826171875,ATAL
HSW-01x,2255,2285,ATRT
HSW-01x,2285,2343,RNMUU
HSW-01x,2343,2389,RNMUE
HSW-01x,2389,2463,RNMUL
HSW-01x,2463,2496,RNROY
HSW-01x,2496,2544,RNROF
HSW-01,2287.0300292969,2292.7766113281,RNMUU
HSW-01,2292.7766113281,2336.9523925781,RNMUE
HSW-01,2336.9523925781,2411.2583007813,RNMUL
HSW-01,2411.2583007813,2441.0769042969,RNROY
HSW-01,2441.0769042969,2501.8999023438,RNROF
HSW-01,2501.8999023438,2547.3999023438,RNROL
HSW-01,2547.3999023438,2571.3999023438,RNSOC
HSW-01,2571.3999023438,2585.3999023438,RNSOB
HSW-01,2585.3999023438,2613.3999023438,RBMH
HSW-01,2613.3999023438,2634.3999023438,RBMDC
HSW-01,2634.3999023438,2644.3999023438,RBMDL
HSW-01,2644.3999023438,2728.3999023438,RBMVU
HSW-01,2728.3999023438,2770.3999023438,RBMVL
HSW-01,2770.3999023438,2791.3999023438,RBSH
HVB-01,0,168,NUOT
HVB-01,168,608,NUBA
HVB-01,608,662.9948120117,NMVF
HVB-01,662.9948120117,745.9364013672,NMRFC
HVB-01,745.9364013672,769.8579711914,NMRFV
HVB-01,769.8579711914,796.6904296875,NLFFS
HVB-01,796.6904296875,899.5079956055,NLFFY
HVB-01,899.5079956055,912.967956543,NLFFD
HVB-01,912.967956543,957.4100341797,NLLFC
HVB-01,957.4100341797,997.9159545898,NLLFG
HVB-01,997.9159545898,1013.4299926758,NLLFS
HVB-01,1013.4299926758,1016.25,NLLFL
HVB-01,1016.25,1071.2299804688,CKGR
HVB-01,1071.2299804688,1084.3819580078,CKTXM
HVB-01,1084.3819580078,1108.3029785156,CKTXG
HVB-01,1108.3029785156,1159.8845214844,SLDNA
HVB-01,1159.8845214844,1217.5100097656,ATBRU
HVB-01,1217.5100097656,1240.0159912109,ATBR3
HVB-01,1240.0159912109,1292.6500244141,ATBRM
HVB-01,1292.6500244141,1314.2698974609,ATBR2
HVB-01,1314.2698974609,1350.0310058594,ATBRL
HVB-01,1350.0310058594,1380.6505126953,ATBR1
HVB-01,1380.6505126953,1556.8699951172,ATWDU
