well,LAT_PALEO,EAR_EOC_YP,EAR_EOC_MY,EAR_EOC_LY,MID_EOC,LAT_EOC,EAR_OLIG,LAT_OLIG,EAR_MIOC,MID_MIOC,EAR_PLIOC,MID_QUART
Well277,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well278,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well279,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well280,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well281,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well282,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well283,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well284,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well285,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well286,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well287,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well288,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well289,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well290,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well291,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well292,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well293,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well294,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well295,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well296,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well297,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well298,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well299,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well300,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well301,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well302,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well303,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well304,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well305,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well306,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well307,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well308,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well309,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well310,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well311,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
Well312,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,marine,terrestrial
