well,sample_id,depth_top,depth_bottom,depth,aft_age,aft_age_min_95ci,aft_age_plus_95ci,Dpar
KDK-01,KDK01-3,1226,1259,1242.5,389.4246826172,-240.0014953613,597.0848999023,
KDK-01,KDK01-3,1226,1259,1242.5,219.7338562012,-141.5296630859,385.9043273926,
KDK-01,KDK01-3,1226,1259,1242.5,630.8969116211,-205.5957489014,298.0653381348,
KDK-01,KDK01-3,1226,1259,1242.5,331.9117431641,-193.8754730225,450.1519470215,
KDK-01,KDK01-3,1226,1259,1242.5,250.5218963623,-171.1544189453,518.8441772461,
KDK-01,KDK01-4,1859,1859,1859,290.5427856445,-74.9654464722,100.2550354004,
KDK-01,KDK01-4,1859,1859,1859,145.8371429443,-61.8505363464,106.5165405273,
KDK-01,KDK01-4,1859,1859,1859,44.1048049927,-13.8935308456,20.2510623932,
KDK-01,KDK01-4,1859,1859,1859,261.4165344238,-86.2158966064,127.3817214966,
KDK-01,KDK01-4,1859,1859,1859,192.214630127,-56.0756378174,78.6927108765,
KDK-01,KDK01-4,1859,1859,1859,198.4678192139,-104.8912734985,218.7223815918,
KDK-01,KDK01-4,1859,1859,1859,194.2260284424,-59.2323760986,84.6659240723,
KDK-01,KDK01-4,1859,1859,1859,153.3450622559,-34.7396583557,44.7596969604,
KDK-01,KDK01-4,1859,1859,1859,99.997543335,-38.3123207092,61.8111076355,
KDK-01,KDK01-4,1859,1859,1859,258.8062744141,-80.8508605957,116.5295028687,
KDK-01,KDK01-4,1859,1859,1859,163.2922973633,-136.8493499756,794.1400756836,
KDK-01,KDK01-4,1859,1859,1859,93.4142074585,-37.7310752869,62.989528656,
KDK-01,KDK01-4,1859,1859,1859,243.4133300781,-228.819229126,2997.9973144531,
KDK-01,KDK01-4,1859,1859,1859,138.9889373779,-31.8176212311,41.1326942444,
KDK-01,KDK01-4,1859,1859,1859,153.4701080322,-34.2426605225,43.9277915955,
KDK-01,KDK01-4,1859,1859,1859,188.7718505859,-43.6432685852,56.5202102661,
KDK-01,KDK01-4,1859,1859,1859,170.7136383057,-54.0322189331,78.5738983154,
KDK-01,KDK01-4,1859,1859,1859,229.6701965332,-65.1436080933,90.3042984009,
KDK-01,KDK01-4,1859,1859,1859,197.0127410889,-83.273109436,142.655380249,
KDK-01,KDK01-4,1859,1859,1859,179.0040588379,-69.929473877,113.7558135986,
KDK-01,KDK01-5,2126,2126,2126,98.9675674438,-37.8593826294,61.0257797241,
KDK-01,KDK01-5,2126,2126,2126,31.0908660889,-27.3734588623,224.9698791504,
