,well,sample_id,sample_type,data_source,x_UTMED50,y_UTMED50,depth_top_AH,depth_bottom_AH,depth_top_TVD,depth_bottom_TVD,stratigraphy_code,stratigraphy,lithology,vitrinite_parameter,value_main,N_main,value_pop2,N_pop2,value_pop3,N_pop3,value_pop4,N_pop4,value_mean,value_std,N_total
93,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1066.0,1066.0,1066.0,1066.0,,no_info,,Rr,1.2300000190734863,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
94,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1093.260009765625,1093.260009765625,1093.260009765625,1093.260009765625,,no_info,,Rr,1.2400000095367432,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
95,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1140.3499755859375,1140.3499755859375,1140.3499755859375,1140.3499755859375,,no_info,,Rr,1.3500000238418579,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
96,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1147.1800537109375,1147.1800537109375,1147.1800537109375,1147.1800537109375,,no_info,,Rr,1.3300000429153442,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
97,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1157.2900390625,1157.2900390625,1157.2900390625,1157.2900390625,,no_info,,Rr,1.3400000333786011,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
98,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1167.22998046875,1167.22998046875,1167.22998046875,1167.22998046875,,no_info,,Rr,1.3700000047683716,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
99,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1177.9599609375,1177.9599609375,1177.9599609375,1177.9599609375,,no_info,,Rr,1.3799999952316284,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
100,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1199.449951171875,1199.449951171875,1199.449951171875,1199.449951171875,,no_info,,Rr,1.4299999475479126,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
101,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1236.0,1236.0,1236.0,1236.0,,no_info,,Rr,1.440000057220459,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
102,HDN-20,unknown,unknown,TNO-database,707855.0,5686628.0,1250.0,1250.0,1250.0,1250.0,,no_info,,Rr,1.4199999570846558,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
103,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,987.0,987.0,987.0,987.0,,no_info,,Rr,0.93000000715255737,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
104,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1004.0,1004.0,1004.0,1004.0,,no_info,,Rr,0.86000001430511475,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
105,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1016.0,1016.0,1016.0,1016.0,,no_info,,Rr,0.95999997854232788,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
106,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1027.0,1027.0,1027.0,1027.0,,no_info,,Rr,0.95999997854232788,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
107,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1065.0,1065.0,1065.0,1065.0,,no_info,,Rr,0.80000001192092896,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
108,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1076.0,1076.0,1076.0,1076.0,,no_info,,Rr,1.0399999618530273,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
109,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1127.0,1127.0,1127.0,1127.0,,no_info,,Rr,0.98000001907348633,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
110,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1203.0,1203.0,1203.0,1203.0,,no_info,,Rr,1.0900000333786011,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
111,HEL-05-A,unknown,unknown,TNO-database,703488.0,5696933.0,1228.0,1228.0,1228.0,1228.0,,no_info,,Rr,0.95999997854232788,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
112,Hengevelde,unknown,unknown,Clyde_IGI_report,749687.0,5789236.0,113.0,113.0,1113.0,1113.0,,Carboniferous,,R0,0.77999997138977051,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
113,Hengevelde,unknown,unknown,Clyde_IGI_report,749687.0,5789236.0,1023.0,1023.0,1023.0,1023.0,,Carboniferous,,R0,0.63999998569488525,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
114,Hengevelde,unknown,unknown,Clyde_IGI_report,749687.0,5789236.0,1275.4000244140625,1275.4000244140625,1275.0,1275.0,,Carboniferous,,R0,0.70999997854232788,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
115,Hengevelde,unknown,unknown,Clyde_IGI_report,749687.0,5789236.0,1383.199951171875,1383.199951171875,1383.0,1383.0,,Carboniferous,,R0,0.81000000238418579,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
116,Hengevelde,unknown,unknown,Clyde_IGI_report,749687.0,5789236.0,1499.0,1499.0,1499.0,1499.0,,Carboniferous,,R0,0.85000002384185791,-99999,0.0,0,0.0,0,0.0,0,0.0,0.0,0
117,HSW-01,unknown,kerogen_co,company_reports,669242.0,5726649.0,930.0,960.0,930.0,960.0,,no_info,,avg_reflectivity_R0,0.31999999284744263,49,-99999.0,-99999,-99999.0,-99999,0.0,0,0.33000001311302185,0.029999999329447746,51
118,HSW-01,unknown,kerogen_co,company_reports,669242.0,5726649.0,1820.0,1830.0,1794.5999755859375,1804.5999755859375,,no_info,,avg_reflectivity_R0,0.44999998807907104,50,-99999.0,-99999,-99999.0,-99999,0.0,0,0.44999998807907104,0.029999999329447746,50
